# Las tres formas de pagar el programa de empleo y vivienda,
# cuantificadas por separado. NO se elige ninguna.
opcion,anio,aporte,costo_del_programa,cubre_pct,efecto_en_resultado_financiero,detalle,supuesto
i_reasignacion,2036,7225194059.57,7225194059.57,100.00,0.00,"sale del gasto flexible del ejercicio, que en 2025 fue 87325600155.82 (26.93% del gasto). El programa en regimen se lleva el 8.27% de ese margen",el gasto total no cambia; cambia su composicion
i_reasignacion,2037,7225194059.57,7225194059.57,100.00,0.00,"sale del gasto flexible del ejercicio, que en 2025 fue 87325600155.82 (26.93% del gasto). El programa en regimen se lleva el 8.27% de ese margen",el gasto total no cambia; cambia su composicion
ii_percepcion_92,2026,2255561005.78,1806298514.89,124.87,2255561005.78,subir la percepcion de 89.32395795554747175480994651% a 92% sobre los 337148814303.08 devengados de 2025 da 9022244023.12 por anio en regimen,"la mejora entra en 4 anios, igual que la rampa del programa"
ii_percepcion_92,2027,4511122011.56,3612597029.79,124.87,4511122011.56,subir la percepcion de 89.32395795554747175480994651% a 92% sobre los 337148814303.08 devengados de 2025 da 9022244023.12 por anio en regimen,"la mejora entra en 4 anios, igual que la rampa del programa"
ii_percepcion_92,2028,6766683017.34,5418895544.68,124.87,6766683017.34,subir la percepcion de 89.32395795554747175480994651% a 92% sobre los 337148814303.08 devengados de 2025 da 9022244023.12 por anio en regimen,"la mejora entra en 4 anios, igual que la rampa del programa"
ii_percepcion_92,2029,9022244023.12,7225194059.57,124.87,9022244023.12,subir la percepcion de 89.32395795554747175480994651% a 92% sobre los 337148814303.08 devengados de 2025 da 9022244023.12 por anio en regimen,"la mejora entra en 4 anios, igual que la rampa del programa"
ii_percepcion_92,2030,9022244023.12,7225194059.57,124.87,9022244023.12,subir la percepcion de 89.32395795554747175480994651% a 92% sobre los 337148814303.08 devengados de 2025 da 9022244023.12 por anio en regimen,"la mejora entra en 4 anios, igual que la rampa del programa"
ii_percepcion_92,2031,9022244023.12,7225194059.57,124.87,9022244023.12,subir la percepcion de 89.32395795554747175480994651% a 92% sobre los 337148814303.08 devengados de 2025 da 9022244023.12 por anio en regimen,"la mejora entra en 4 anios, igual que la rampa del programa"
ii_percepcion_92,2032,9022244023.12,7225194059.57,124.87,9022244023.12,subir la percepcion de 89.32395795554747175480994651% a 92% sobre los 337148814303.08 devengados de 2025 da 9022244023.12 por anio en regimen,"la mejora entra en 4 anios, igual que la rampa del programa"
ii_percepcion_92,2033,9022244023.12,7225194059.57,124.87,9022244023.12,subir la percepcion de 89.32395795554747175480994651% a 92% sobre los 337148814303.08 devengados de 2025 da 9022244023.12 por anio en regimen,"la mejora entra en 4 anios, igual que la rampa del programa"
ii_percepcion_92,2034,9022244023.12,7225194059.57,124.87,9022244023.12,subir la percepcion de 89.32395795554747175480994651% a 92% sobre los 337148814303.08 devengados de 2025 da 9022244023.12 por anio en regimen,"la mejora entra en 4 anios, igual que la rampa del programa"
ii_percepcion_92,2035,9022244023.12,7225194059.57,124.87,9022244023.12,subir la percepcion de 89.32395795554747175480994651% a 92% sobre los 337148814303.08 devengados de 2025 da 9022244023.12 por anio en regimen,"la mejora entra en 4 anios, igual que la rampa del programa"
ii_percepcion_92,2036,9022244023.12,7225194059.57,124.87,9022244023.12,subir la percepcion de 89.32395795554747175480994651% a 92% sobre los 337148814303.08 devengados de 2025 da 9022244023.12 por anio en regimen,"la mejora entra en 4 anios, igual que la rampa del programa"
ii_percepcion_92,2037,9022244023.12,7225194059.57,124.87,9022244023.12,subir la percepcion de 89.32395795554747175480994651% a 92% sobre los 337148814303.08 devengados de 2025 da 9022244023.12 por anio en regimen,"la mejora entra en 4 anios, igual que la rampa del programa"
ii_percepcion_95,2026,4784177113.05,1806298514.89,264.86,4784177113.05,subir la percepcion de 89.32395795554747175480994651% a 95% sobre los 337148814303.08 devengados de 2025 da 19136708452.22 por anio en regimen,"la mejora entra en 4 anios, igual que la rampa del programa"
ii_percepcion_95,2027,9568354226.11,3612597029.79,264.86,9568354226.11,subir la percepcion de 89.32395795554747175480994651% a 95% sobre los 337148814303.08 devengados de 2025 da 19136708452.22 por anio en regimen,"la mejora entra en 4 anios, igual que la rampa del programa"
ii_percepcion_95,2028,14352531339.16,5418895544.68,264.86,14352531339.16,subir la percepcion de 89.32395795554747175480994651% a 95% sobre los 337148814303.08 devengados de 2025 da 19136708452.22 por anio en regimen,"la mejora entra en 4 anios, igual que la rampa del programa"
ii_percepcion_95,2029,19136708452.22,7225194059.57,264.86,19136708452.22,subir la percepcion de 89.32395795554747175480994651% a 95% sobre los 337148814303.08 devengados de 2025 da 19136708452.22 por anio en regimen,"la mejora entra en 4 anios, igual que la rampa del programa"
ii_percepcion_95,2030,19136708452.22,7225194059.57,264.86,19136708452.22,subir la percepcion de 89.32395795554747175480994651% a 95% sobre los 337148814303.08 devengados de 2025 da 19136708452.22 por anio en regimen,"la mejora entra en 4 anios, igual que la rampa del programa"
ii_percepcion_95,2031,19136708452.22,7225194059.57,264.86,19136708452.22,subir la percepcion de 89.32395795554747175480994651% a 95% sobre los 337148814303.08 devengados de 2025 da 19136708452.22 por anio en regimen,"la mejora entra en 4 anios, igual que la rampa del programa"
ii_percepcion_95,2032,19136708452.22,7225194059.57,264.86,19136708452.22,subir la percepcion de 89.32395795554747175480994651% a 95% sobre los 337148814303.08 devengados de 2025 da 19136708452.22 por anio en regimen,"la mejora entra en 4 anios, igual que la rampa del programa"
ii_percepcion_95,2033,19136708452.22,7225194059.57,264.86,19136708452.22,subir la percepcion de 89.32395795554747175480994651% a 95% sobre los 337148814303.08 devengados de 2025 da 19136708452.22 por anio en regimen,"la mejora entra en 4 anios, igual que la rampa del programa"
ii_percepcion_95,2034,19136708452.22,7225194059.57,264.86,19136708452.22,subir la percepcion de 89.32395795554747175480994651% a 95% sobre los 337148814303.08 devengados de 2025 da 19136708452.22 por anio en regimen,"la mejora entra en 4 anios, igual que la rampa del programa"
ii_percepcion_95,2035,19136708452.22,7225194059.57,264.86,19136708452.22,subir la percepcion de 89.32395795554747175480994651% a 95% sobre los 337148814303.08 devengados de 2025 da 19136708452.22 por anio en regimen,"la mejora entra en 4 anios, igual que la rampa del programa"
ii_percepcion_95,2036,19136708452.22,7225194059.57,264.86,19136708452.22,subir la percepcion de 89.32395795554747175480994651% a 95% sobre los 337148814303.08 devengados de 2025 da 19136708452.22 por anio en regimen,"la mejora entra en 4 anios, igual que la rampa del programa"
ii_percepcion_95,2037,19136708452.22,7225194059.57,264.86,19136708452.22,subir la percepcion de 89.32395795554747175480994651% a 95% sobre los 337148814303.08 devengados de 2025 da 19136708452.22 por anio en regimen,"la mejora entra en 4 anios, igual que la rampa del programa"
ii_percepcion_97,2026,6469921184.57,1806298514.89,358.19,6469921184.57,subir la percepcion de 89.32395795554747175480994651% a 97% sobre los 337148814303.08 devengados de 2025 da 25879684738.28 por anio en regimen,"la mejora entra en 4 anios, igual que la rampa del programa"
ii_percepcion_97,2027,12939842369.14,3612597029.79,358.19,12939842369.14,subir la percepcion de 89.32395795554747175480994651% a 97% sobre los 337148814303.08 devengados de 2025 da 25879684738.28 por anio en regimen,"la mejora entra en 4 anios, igual que la rampa del programa"
ii_percepcion_97,2028,19409763553.71,5418895544.68,358.19,19409763553.71,subir la percepcion de 89.32395795554747175480994651% a 97% sobre los 337148814303.08 devengados de 2025 da 25879684738.28 por anio en regimen,"la mejora entra en 4 anios, igual que la rampa del programa"
ii_percepcion_97,2029,25879684738.28,7225194059.57,358.19,25879684738.28,subir la percepcion de 89.32395795554747175480994651% a 97% sobre los 337148814303.08 devengados de 2025 da 25879684738.28 por anio en regimen,"la mejora entra en 4 anios, igual que la rampa del programa"
ii_percepcion_97,2030,25879684738.28,7225194059.57,358.19,25879684738.28,subir la percepcion de 89.32395795554747175480994651% a 97% sobre los 337148814303.08 devengados de 2025 da 25879684738.28 por anio en regimen,"la mejora entra en 4 anios, igual que la rampa del programa"
ii_percepcion_97,2031,25879684738.28,7225194059.57,358.19,25879684738.28,subir la percepcion de 89.32395795554747175480994651% a 97% sobre los 337148814303.08 devengados de 2025 da 25879684738.28 por anio en regimen,"la mejora entra en 4 anios, igual que la rampa del programa"
ii_percepcion_97,2032,25879684738.28,7225194059.57,358.19,25879684738.28,subir la percepcion de 89.32395795554747175480994651% a 97% sobre los 337148814303.08 devengados de 2025 da 25879684738.28 por anio en regimen,"la mejora entra en 4 anios, igual que la rampa del programa"
ii_percepcion_97,2033,25879684738.28,7225194059.57,358.19,25879684738.28,subir la percepcion de 89.32395795554747175480994651% a 97% sobre los 337148814303.08 devengados de 2025 da 25879684738.28 por anio en regimen,"la mejora entra en 4 anios, igual que la rampa del programa"
ii_percepcion_97,2034,25879684738.28,7225194059.57,358.19,25879684738.28,subir la percepcion de 89.32395795554747175480994651% a 97% sobre los 337148814303.08 devengados de 2025 da 25879684738.28 por anio en regimen,"la mejora entra en 4 anios, igual que la rampa del programa"
ii_percepcion_97,2035,25879684738.28,7225194059.57,358.19,25879684738.28,subir la percepcion de 89.32395795554747175480994651% a 97% sobre los 337148814303.08 devengados de 2025 da 25879684738.28 por anio en regimen,"la mejora entra en 4 anios, igual que la rampa del programa"
ii_percepcion_97,2036,25879684738.28,7225194059.57,358.19,25879684738.28,subir la percepcion de 89.32395795554747175480994651% a 97% sobre los 337148814303.08 devengados de 2025 da 25879684738.28 por anio en regimen,"la mejora entra en 4 anios, igual que la rampa del programa"
ii_percepcion_97,2037,25879684738.28,7225194059.57,358.19,25879684738.28,subir la percepcion de 89.32395795554747175480994651% a 97% sobre los 337148814303.08 devengados de 2025 da 25879684738.28 por anio en regimen,"la mejora entra en 4 anios, igual que la rampa del programa"
iii_credito_0,2026,1806298514.89,1806298514.89,100.00,1806298514.89,"saldo de la deuda nueva 1806298514.89, servicio del anio 0.00 (amortizacion 0.00 + intereses 0.00)","tasa real 0% anual, amortizacion en 5 anios. EL REPO NO TIENE DATO del costo del credito del Municipio: por eso se corren tres tasas."
iii_credito_0,2027,3612597029.79,3612597029.79,100.00,3251337326.81,"saldo de la deuda nueva 5057635841.70, servicio del anio 361259702.98 (amortizacion 361259702.98 + intereses 0.00)","tasa real 0% anual, amortizacion en 5 anios. EL REPO NO TIENE DATO del costo del credito del Municipio: por eso se corren tres tasas."
iii_credito_0,2028,5418895544.68,5418895544.68,100.00,4335116435.74,"saldo de la deuda nueva 9392752277.44, servicio del anio 1083779108.94 (amortizacion 1083779108.94 + intereses 0.00)","tasa real 0% anual, amortizacion en 5 anios. EL REPO NO TIENE DATO del costo del credito del Municipio: por eso se corren tres tasas."
iii_credito_0,2029,7225194059.57,7225194059.57,100.00,5057635841.70,"saldo de la deuda nueva 14450388119.14, servicio del anio 2167558217.87 (amortizacion 2167558217.87 + intereses 0.00)","tasa real 0% anual, amortizacion en 5 anios. EL REPO NO TIENE DATO del costo del credito del Municipio: por eso se corren tres tasas."
iii_credito_0,2030,7225194059.57,7225194059.57,100.00,3612597029.79,"saldo de la deuda nueva 18062985148.93, servicio del anio 3612597029.79 (amortizacion 3612597029.79 + intereses 0.00)","tasa real 0% anual, amortizacion en 5 anios. EL REPO NO TIENE DATO del costo del credito del Municipio: por eso se corren tres tasas."
iii_credito_0,2031,7225194059.57,7225194059.57,100.00,2528817920.85,"saldo de la deuda nueva 20591803069.77, servicio del anio 4696376138.72 (amortizacion 4696376138.72 + intereses 0.00)","tasa real 0% anual, amortizacion en 5 anios. EL REPO NO TIENE DATO del costo del credito del Municipio: por eso se corren tres tasas."
iii_credito_0,2032,7225194059.57,7225194059.57,100.00,1806298514.89,"saldo de la deuda nueva 22398101584.67, servicio del anio 5418895544.68 (amortizacion 5418895544.68 + intereses 0.00)","tasa real 0% anual, amortizacion en 5 anios. EL REPO NO TIENE DATO del costo del credito del Municipio: por eso se corren tres tasas."
iii_credito_0,2033,7225194059.57,7225194059.57,100.00,1445038811.91,"saldo de la deuda nueva 23843140396.58, servicio del anio 5780155247.66 (amortizacion 5780155247.66 + intereses 0.00)","tasa real 0% anual, amortizacion en 5 anios. EL REPO NO TIENE DATO del costo del credito del Municipio: por eso se corren tres tasas."
iii_credito_0,2034,7225194059.57,7225194059.57,100.00,1445038811.91,"saldo de la deuda nueva 25288179208.50, servicio del anio 5780155247.66 (amortizacion 5780155247.66 + intereses 0.00)","tasa real 0% anual, amortizacion en 5 anios. EL REPO NO TIENE DATO del costo del credito del Municipio: por eso se corren tres tasas."
iii_credito_0,2035,7225194059.57,7225194059.57,100.00,1445038811.91,"saldo de la deuda nueva 26733218020.41, servicio del anio 5780155247.66 (amortizacion 5780155247.66 + intereses 0.00)","tasa real 0% anual, amortizacion en 5 anios. EL REPO NO TIENE DATO del costo del credito del Municipio: por eso se corren tres tasas."
iii_credito_0,2036,7225194059.57,7225194059.57,100.00,1445038811.91,"saldo de la deuda nueva 28178256832.32, servicio del anio 5780155247.66 (amortizacion 5780155247.66 + intereses 0.00)","tasa real 0% anual, amortizacion en 5 anios. EL REPO NO TIENE DATO del costo del credito del Municipio: por eso se corren tres tasas."
iii_credito_0,2037,7225194059.57,7225194059.57,100.00,1445038811.91,"saldo de la deuda nueva 29623295644.24, servicio del anio 5780155247.66 (amortizacion 5780155247.66 + intereses 0.00)","tasa real 0% anual, amortizacion en 5 anios. EL REPO NO TIENE DATO del costo del credito del Municipio: por eso se corren tres tasas."
iii_credito_5,2026,1806298514.89,1806298514.89,100.00,1806298514.89,"saldo de la deuda nueva 1806298514.89, servicio del anio 0.00 (amortizacion 0.00 + intereses 0.00)","tasa real 5% anual, amortizacion en 5 anios. EL REPO NO TIENE DATO del costo del credito del Municipio: por eso se corren tres tasas."
iii_credito_5,2027,3612597029.79,3612597029.79,100.00,3161022401.06,"saldo de la deuda nueva 5057635841.70, servicio del anio 451574628.72 (amortizacion 361259702.98 + intereses 90314925.74)","tasa real 5% anual, amortizacion en 5 anios. EL REPO NO TIENE DATO del costo del credito del Municipio: por eso se corren tres tasas."
iii_credito_5,2028,5418895544.68,5418895544.68,100.00,4082234643.66,"saldo de la deuda nueva 9392752277.44, servicio del anio 1336660901.02 (amortizacion 1083779108.94 + intereses 252881792.08)","tasa real 5% anual, amortizacion en 5 anios. EL REPO NO TIENE DATO del costo del credito del Municipio: por eso se corren tres tasas."
iii_credito_5,2029,7225194059.57,7225194059.57,100.00,4587998227.83,"saldo de la deuda nueva 14450388119.14, servicio del anio 2637195831.74 (amortizacion 2167558217.87 + intereses 469637613.87)","tasa real 5% anual, amortizacion en 5 anios. EL REPO NO TIENE DATO del costo del credito del Municipio: por eso se corren tres tasas."
iii_credito_5,2030,7225194059.57,7225194059.57,100.00,2890077623.83,"saldo de la deuda nueva 18062985148.93, servicio del anio 4335116435.74 (amortizacion 3612597029.79 + intereses 722519405.96)","tasa real 5% anual, amortizacion en 5 anios. EL REPO NO TIENE DATO del costo del credito del Municipio: por eso se corren tres tasas."
iii_credito_5,2031,7225194059.57,7225194059.57,100.00,1625668663.40,"saldo de la deuda nueva 20591803069.77, servicio del anio 5599525396.17 (amortizacion 4696376138.72 + intereses 903149257.45)","tasa real 5% anual, amortizacion en 5 anios. EL REPO NO TIENE DATO del costo del credito del Municipio: por eso se corren tres tasas."
iii_credito_5,2032,7225194059.57,7225194059.57,100.00,776708361.40,"saldo de la deuda nueva 22398101584.67, servicio del anio 6448485698.17 (amortizacion 5418895544.68 + intereses 1029590153.49)","tasa real 5% anual, amortizacion en 5 anios. EL REPO NO TIENE DATO del costo del credito del Municipio: por eso se corren tres tasas."
iii_credito_5,2033,7225194059.57,7225194059.57,100.00,325133732.68,"saldo de la deuda nueva 23843140396.58, servicio del anio 6900060326.89 (amortizacion 5780155247.66 + intereses 1119905079.23)","tasa real 5% anual, amortizacion en 5 anios. EL REPO NO TIENE DATO del costo del credito del Municipio: por eso se corren tres tasas."
iii_credito_5,2034,7225194059.57,7225194059.57,100.00,252881792.08,"saldo de la deuda nueva 25288179208.50, servicio del anio 6972312267.49 (amortizacion 5780155247.66 + intereses 1192157019.83)","tasa real 5% anual, amortizacion en 5 anios. EL REPO NO TIENE DATO del costo del credito del Municipio: por eso se corren tres tasas."
iii_credito_5,2035,7225194059.57,7225194059.57,100.00,180629851.49,"saldo de la deuda nueva 26733218020.41, servicio del anio 7044564208.08 (amortizacion 5780155247.66 + intereses 1264408960.42)","tasa real 5% anual, amortizacion en 5 anios. EL REPO NO TIENE DATO del costo del credito del Municipio: por eso se corren tres tasas."
iii_credito_5,2036,7225194059.57,7225194059.57,100.00,108377910.89,"saldo de la deuda nueva 28178256832.32, servicio del anio 7116816148.68 (amortizacion 5780155247.66 + intereses 1336660901.02)","tasa real 5% anual, amortizacion en 5 anios. EL REPO NO TIENE DATO del costo del credito del Municipio: por eso se corren tres tasas."
iii_credito_5,2037,7225194059.57,7225194059.57,100.00,36125970.30,"saldo de la deuda nueva 29623295644.24, servicio del anio 7189068089.27 (amortizacion 5780155247.66 + intereses 1408912841.62)","tasa real 5% anual, amortizacion en 5 anios. EL REPO NO TIENE DATO del costo del credito del Municipio: por eso se corren tres tasas."
iii_credito_10,2026,1806298514.89,1806298514.89,100.00,1806298514.89,"saldo de la deuda nueva 1806298514.89, servicio del anio 0.00 (amortizacion 0.00 + intereses 0.00)","tasa real 10% anual, amortizacion en 5 anios. EL REPO NO TIENE DATO del costo del credito del Municipio: por eso se corren tres tasas."
iii_credito_10,2027,3612597029.79,3612597029.79,100.00,3070707475.32,"saldo de la deuda nueva 5057635841.70, servicio del anio 541889554.47 (amortizacion 361259702.98 + intereses 180629851.49)","tasa real 10% anual, amortizacion en 5 anios. EL REPO NO TIENE DATO del costo del credito del Municipio: por eso se corren tres tasas."
iii_credito_10,2028,5418895544.68,5418895544.68,100.00,3829352851.57,"saldo de la deuda nueva 9392752277.44, servicio del anio 1589542693.11 (amortizacion 1083779108.94 + intereses 505763584.17)","tasa real 10% anual, amortizacion en 5 anios. EL REPO NO TIENE DATO del costo del credito del Municipio: por eso se corren tres tasas."
iii_credito_10,2029,7225194059.57,7225194059.57,100.00,4118360613.95,"saldo de la deuda nueva 14450388119.14, servicio del anio 3106833445.62 (amortizacion 2167558217.87 + intereses 939275227.74)","tasa real 10% anual, amortizacion en 5 anios. EL REPO NO TIENE DATO del costo del credito del Municipio: por eso se corren tres tasas."
iii_credito_10,2030,7225194059.57,7225194059.57,100.00,2167558217.87,"saldo de la deuda nueva 18062985148.93, servicio del anio 5057635841.70 (amortizacion 3612597029.79 + intereses 1445038811.91)","tasa real 10% anual, amortizacion en 5 anios. EL REPO NO TIENE DATO del costo del credito del Municipio: por eso se corren tres tasas."
iii_credito_10,2031,7225194059.57,7225194059.57,100.00,722519405.96,"saldo de la deuda nueva 20591803069.77, servicio del anio 6502674653.61 (amortizacion 4696376138.72 + intereses 1806298514.89)","tasa real 10% anual, amortizacion en 5 anios. EL REPO NO TIENE DATO del costo del credito del Municipio: por eso se corren tres tasas."
iii_credito_10,2032,7225194059.57,7225194059.57,100.00,-252881792.08,"saldo de la deuda nueva 22398101584.67, servicio del anio 7478075851.65 (amortizacion 5418895544.68 + intereses 2059180306.98)","tasa real 10% anual, amortizacion en 5 anios. EL REPO NO TIENE DATO del costo del credito del Municipio: por eso se corren tres tasas."
iii_credito_10,2033,7225194059.57,7225194059.57,100.00,-794771346.55,"saldo de la deuda nueva 23843140396.58, servicio del anio 8019965406.12 (amortizacion 5780155247.66 + intereses 2239810158.47)","tasa real 10% anual, amortizacion en 5 anios. EL REPO NO TIENE DATO del costo del credito del Municipio: por eso se corren tres tasas."
iii_credito_10,2034,7225194059.57,7225194059.57,100.00,-939275227.74,"saldo de la deuda nueva 25288179208.50, servicio del anio 8164469287.31 (amortizacion 5780155247.66 + intereses 2384314039.66)","tasa real 10% anual, amortizacion en 5 anios. EL REPO NO TIENE DATO del costo del credito del Municipio: por eso se corren tres tasas."
iii_credito_10,2035,7225194059.57,7225194059.57,100.00,-1083779108.94,"saldo de la deuda nueva 26733218020.41, servicio del anio 8308973168.51 (amortizacion 5780155247.66 + intereses 2528817920.85)","tasa real 10% anual, amortizacion en 5 anios. EL REPO NO TIENE DATO del costo del credito del Municipio: por eso se corren tres tasas."
iii_credito_10,2036,7225194059.57,7225194059.57,100.00,-1228282990.13,"saldo de la deuda nueva 28178256832.32, servicio del anio 8453477049.70 (amortizacion 5780155247.66 + intereses 2673321802.04)","tasa real 10% anual, amortizacion en 5 anios. EL REPO NO TIENE DATO del costo del credito del Municipio: por eso se corren tres tasas."
iii_credito_10,2037,7225194059.57,7225194059.57,100.00,-1372786871.32,"saldo de la deuda nueva 29623295644.24, servicio del anio 8597980930.89 (amortizacion 5780155247.66 + intereses 2817825683.23)","tasa real 10% anual, amortizacion en 5 anios. EL REPO NO TIENE DATO del costo del credito del Municipio: por eso se corren tres tasas."
